Company Name,CIK
AMARILLO BIOSCIENCES INC,1014763
AMARIN CORP PLC\UK,897448
AMAZON COM INC,1018724
AMBAC FINANCIAL GROUP INC,874501
AMBASE CORP,20639
"AMC ENTERTAINMENT HOLDINGS, INC.",1411579
AMC Networks Inc.,1514991
AMEDICA Corp,1269026
AMEDISYS INC,896262
AMERCO /NV/,4457
AMEREN CORP,1002910
"AMERI Holdings, Inc.",890821
"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",1059142
AMERICAN AIRLINES INC,4515
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,1062231
AMERICAN BIO MEDICA CORP,896747
AMERICAN CAMPUS COMMUNITIES INC,1283630
"AMERICAN CAPITAL, LTD",817473
AMERICAN CHURCH MORTGAGE CO,934543
AMERICAN DG ENERGY INC,1378706
"AMERICAN EDUCATION CENTER, INC.",1626556
AMERICAN ELECTRIC POWER CO INC,4904
AMERICAN ENERGY GROUP LTD,843212
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,1039828
AMERICAN EXPRESS CO,4962
AMERICAN EXPRESS CREDIT CORP,4969
AMERICAN FINANCIAL GROUP INC,1042046
AMERICAN GREETINGS CORP,5133
AMERICAN HONDA FINANCE CORP,864270
AMERICAN INTERNATIONAL GROUP INC,5272
AMERICAN INTERNATIONAL VENTURES INC /DE/,5656
AMERICAN NATIONAL BANKSHARES INC.,741516
AMERICAN NATIONAL INSURANCE CO /TX/,904163
AMERICAN PUBLIC EDUCATION INC,1201792
"AMERICAN REALTY CAPITAL - RETAIL CENTERS OF AMERICA, INC.",1500554
AMERICAN REALTY INVESTORS INC,1102238
AMERICAN RIVER BANKSHARES,1108236
AMERICAN SHARED HOSPITAL SERVICES,744825
AMERICAN STATES WATER CO,1056903
AMERICAN SUPERCONDUCTOR CORP /DE/,880807
AMERICAN TAX CREDIT PROPERTIES II L P,842314
AMERICAN TAX CREDIT PROPERTIES III LP,856135
AMERICAN TAX CREDIT TRUST SERIES I,897315
AMERICAN TOWER CORP /MA/,1053507
AMERICAN VANGUARD CORP,5981
AMERICATOWNE Inc.,1606699
AMERINST INSURANCE GROUP LTD,1065201
AMERIPRISE CERTIFICATE CO,52428
AMERIPRISE FINANCIAL INC,820027
AMERISAFE INC,1018979
AMERISERV FINANCIAL INC /PA/,707605
AMERITYRE CORP,945828
AMES NATIONAL CORP,1132651
AMETEK INC/,1037868
AMGEN INC,318154
AMICUS THERAPEUTICS INC,1178879
"AMKOR TECHNOLOGY, INC.",1047127
AMN HEALTHCARE SERVICES INC,1142750
AMPCO PITTSBURGH CORP,6176
AMPHENOL CORP /DE/,820313
AMSURG CORP,895930
"AMYRIS, INC.",1365916
ANADARKO PETROLEUM CORP,773910
ANDES 7 INC.,1650205
ANDES 8 INC.,1650204
ANDES 9 INC.,1650203
ANDREA ELECTRONICS CORP,6494
ANGIODYNAMICS INC,1275187
ANI PHARMACEUTICALS INC,1023024
ANIXTER INTERNATIONAL INC,52795
ANNALY CAPITAL MANAGEMENT INC,1043219
ANSYS INC,1013462
"ANTARES PHARMA, INC.",1016169
ANTERO RESOURCES Corp,1433270
ANWORTH MORTGAGE ASSET CORP,1047884
"AOXIN TIANLI GROUP, INC.",1486299
"AOXING PHARMACEUTICAL COMPANY, INC.",1060426
"AP Gaming Holdco, Inc.",1593548
APACHE CORP,6769
APACHE OFFSHORE INVESTMENT PARTNERSHIP,727538
APARTMENT INVESTMENT & MANAGEMENT CO,922864
APEX 2 INC.,1521466
APEX RESOURCES INC/NV,1653710
"APOGEE ENTERPRISES, INC.",6845
APOLLO INVESTMENT CORP,1278752
APPALACHIAN POWER CO,6879
APPFOLIO INC,1433195
APPLIANCE RECYCLING CENTERS OF AMERICA INC /MN,862861
"APPLIED ENERGETICS, INC.",879911
APPLIED GENETIC TECHNOLOGIES CORP,1273636
APPLIED INDUSTRIAL TECHNOLOGIES INC,109563
APPLIED MICRO CIRCUITS CORP,711065
"APPLIED OPTOELECTRONICS, INC.",1158114
"APPYEA, INC",1568969
"APRICUS BIOSCIENCES, INC.",1017491
APT Systems Inc,1543739
APTARGROUP INC,896622
"APX Group Holdings, Inc.",1584423
AQUA AMERICA INC,78128
"AQUINOX PHARMACEUTICALS, INC",1404644
ARADIGM CORP,1013238
"ARATANA THERAPEUTICS, INC.",1509190
ARBOR REALTY TRUST INC,1253986
"ARC DOCUMENT SOLUTIONS, INC.",1305168
"ARC Group Worldwide, Inc.",826326
"ARC Group, Inc.",1452872
"ARCA biopharma, Inc.",907654
ARCBEST CORP /DE/,894405
ARCH CAPITAL GROUP LTD.,947484
ARCH COAL INC,1037676
ARCHER DANIELS MIDLAND CO,7084
ARCTIC CAT INC,719866
"ARDELYX, INC.",1437402
AREM PACIFIC Corp,1435812
ARENA PHARMACEUTICALS INC,1080709
ARES CAPITAL CORP,1287750
ARES MANAGEMENT LP,1176948
ARGOS THERAPEUTICS INC,1105533
ARIAD PHARMACEUTICALS INC,884731
ARIZONA PUBLIC SERVICE CO,7286
"ARKADOS GROUP, INC.",1095130
ARMSTRONG WORLD INDUSTRIES INC,7431
AROTECH CORP,916529
ARQULE INC,1019695
ARRAY BIOPHARMA INC,1100412
ARRHYTHMIA RESEARCH TECHNOLOGY INC /DE/,819689
ARRIS International plc,1645494
ARROW ELECTRONICS INC,7536
ARROW FINANCIAL CORP,717538
ARTESIAN RESOURCES CORP,863110
ARTS WAY MANUFACTURING CO INC,7623
"ARTVENTIVE MEDICAL GROUP, INC.",1405249
ARVANA INC,1113313
AS-IP TECH INC,1067873
"ASAP Expo, Inc.",1419275
ASB Bancorp Inc,1520300
ASBURY AUTOMOTIVE GROUP INC,1144980
ASHFORD HOSPITALITY TRUST INC,1232582
"ASIA EQUITY EXCHANGE GROUP, INC.",1590565
ASN SATELLITES INC.,1662675
ASPEN AEROGELS INC,1145986
