1 800 FLOWERS COM INC,10-Q,1084869,2015-05-08,http://www.sec.gov/Archives/edgar/data/1084869/0001437749-15-009451-index.htm
1347 Capital Corp,10-Q,1606163,2015-05-08,http://www.sec.gov/Archives/edgar/data/1606163/0001144204-15-028842-index.htm
"1347 Property Insurance Holdings, Inc.",10-Q,1591890,2015-05-14,http://www.sec.gov/Archives/edgar/data/1591890/0001387131-15-001683-index.htm
1847 Holdings LLC,10-K,1599407,2015-04-15,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-002460-index.htm
1847 Holdings LLC,10-Q,1599407,2015-05-15,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-003312-index.htm
1ST CONSTITUTION BANCORP,10-Q,1141807,2015-05-13,http://www.sec.gov/Archives/edgar/data/1141807/0001214659-15-003911-index.htm
1ST SOURCE CORP,10-Q,34782,2015-04-23,http://www.sec.gov/Archives/edgar/data/34782/0000034782-15-000015-index.htm
"1st Century Bancshares, Inc.",10-Q,1420525,2015-05-08,http://www.sec.gov/Archives/edgar/data/1420525/0001437749-15-009345-index.htm
1st FRANKLIN FINANCIAL CORP,10-Q,38723,2015-05-14,http://www.sec.gov/Archives/edgar/data/38723/0001376474-15-000152-index.htm
"2050 MOTORS, INC.",10-Q,867028,2015-05-13,http://www.sec.gov/Archives/edgar/data/867028/0001493152-15-001890-index.htm
"21st Century Oncology Holdings, Inc.",10-Q,1503518,2015-05-15,http://www.sec.gov/Archives/edgar/data/1503518/0001104659-15-038485-index.htm
"22nd Century Group, Inc.",10-Q,1347858,2015-05-11,http://www.sec.gov/Archives/edgar/data/1347858/0001144204-15-029447-index.htm
24HOLDINGS INC,10-Q,1025315,2015-05-05,http://www.sec.gov/Archives/edgar/data/1025315/0001144204-15-027393-index.htm
"2U, Inc.",10-Q,1459417,2015-05-07,http://www.sec.gov/Archives/edgar/data/1459417/0001104659-15-035575-index.htm
"30DC, INC.",10-Q,1118974,2015-05-13,http://www.sec.gov/Archives/edgar/data/1118974/0001065949-15-000116-index.htm
"3D MAKERJET, INC.",10-Q,1458023,2015-06-15,http://www.sec.gov/Archives/edgar/data/1458023/0001078782-15-000963-index.htm
3D SYSTEMS CORP,10-Q,910638,2015-05-06,http://www.sec.gov/Archives/edgar/data/910638/0000910638-15-000006-index.htm
3D Total Solutions Inc.,10-K,1595326,2015-04-14,http://www.sec.gov/Archives/edgar/data/1595326/0001144204-15-022652-index.htm
3D Total Solutions Inc.,10-Q,1595326,2015-05-20,http://www.sec.gov/Archives/edgar/data/1595326/0001144204-15-032626-index.htm
3D Total Solutions Inc.,NT 10-Q,1595326,2015-05-15,http://www.sec.gov/Archives/edgar/data/1595326/0001144204-15-031433-index.htm
3DICON CORP,10-Q,1375195,2015-05-15,http://www.sec.gov/Archives/edgar/data/1375195/0001144204-15-031294-index.htm
"3DX Industries, Inc.",10-Q,1453122,2015-06-22,http://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000258-index.htm
"3DX Industries, Inc.",NT 10-Q,1453122,2015-06-15,http://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000255-index.htm
3M CO,10-Q,66740,2015-04-30,http://www.sec.gov/Archives/edgar/data/66740/0001104659-15-032226-index.htm
"3PEA INTERNATIONAL, INC.",10-Q,1496443,2015-05-15,http://www.sec.gov/Archives/edgar/data/1496443/0001019687-15-001983-index.htm
3Power Energy Group Inc.,NT 10-K,1221554,2015-06-29,http://www.sec.gov/Archives/edgar/data/1221554/0001144204-15-039587-index.htm
"4Cable TV International, Inc.",10-K,1421901,2015-04-15,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000098-index.htm
"4Cable TV International, Inc.",10-K/A,1421901,2015-04-20,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000101-index.htm
"4Cable TV International, Inc.",10-Q,1421901,2015-05-19,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000139-index.htm
"4Cable TV International, Inc.",NT 10-Q,1421901,2015-05-15,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000130-index.htm
4Licensing Corp,10-Q,58592,2015-05-15,http://www.sec.gov/Archives/edgar/data/58592/0001140361-15-020343-index.htm
4NET SOFTWARE INC,10-Q,812149,2015-05-12,http://www.sec.gov/Archives/edgar/data/812149/0001144204-15-029822-index.htm
"5BARz International, Inc.",10-K,1454124,2015-04-15,http://www.sec.gov/Archives/edgar/data/1454124/0001017386-15-000087-index.htm
"5BARz International, Inc.",10-Q,1454124,2015-05-20,http://www.sec.gov/Archives/edgar/data/1454124/0001017386-15-000120-index.htm
"5BARz International, Inc.",NT 10-Q,1454124,2015-05-15,http://www.sec.gov/Archives/edgar/data/1454124/0001017386-15-000110-index.htm
5V Inc.,10-Q,1504876,2015-05-08,http://www.sec.gov/Archives/edgar/data/1504876/0001213900-15-003393-index.htm
"6D Global Technologies, Inc",10-Q,1382219,2015-05-15,http://www.sec.gov/Archives/edgar/data/1382219/0001185185-15-001325-index.htm
"800 Commerce, Inc.",10-Q,1558465,2015-05-15,http://www.sec.gov/Archives/edgar/data/1558465/0001554795-15-000206-index.htm
808 RENEWABLE ENERGY CORP,NT 10-Q,1467913,2015-05-18,http://www.sec.gov/Archives/edgar/data/1467913/0001079974-15-000375-index.htm
