1 800 FLOWERS COM INC,10-Q,1084869,2015-11-06,http://www.sec.gov/Archives/edgar/data/1084869/0001437749-15-020024-index.htm
1347 Capital Corp,10-Q,1606163,2015-11-12,http://www.sec.gov/Archives/edgar/data/1606163/0001144204-15-064765-index.htm
"1347 Property Insurance Holdings, Inc.",10-Q,1591890,2015-11-12,http://www.sec.gov/Archives/edgar/data/1591890/0001607062-15-000484-index.htm
1847 Holdings LLC,10-Q,1599407,2015-11-23,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-007315-index.htm
1847 Holdings LLC,NT 10-Q,1599407,2015-11-16,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-007031-index.htm
1PM Industries,10-Q,859747,2015-10-13,http://www.sec.gov/Archives/edgar/data/859747/0001477932-15-006328-index.htm
1ST CONSTITUTION BANCORP,10-Q,1141807,2015-11-16,http://www.sec.gov/Archives/edgar/data/1141807/0001141807-15-000004-index.htm
1ST SOURCE CORP,10-Q,34782,2015-10-22,http://www.sec.gov/Archives/edgar/data/34782/0000034782-15-000043-index.htm
"1st Century Bancshares, Inc.",10-Q,1420525,2015-11-05,http://www.sec.gov/Archives/edgar/data/1420525/0001437749-15-019902-index.htm
1st FRANKLIN FINANCIAL CORP,10-Q,38723,2015-11-13,http://www.sec.gov/Archives/edgar/data/38723/0001376474-15-000448-index.htm
"2050 MOTORS, INC.",10-Q,867028,2015-11-16,http://www.sec.gov/Archives/edgar/data/867028/0001493152-15-005466-index.htm
"22nd Century Group, Inc.",10-Q,1347858,2015-11-09,http://www.sec.gov/Archives/edgar/data/1347858/0001144204-15-063520-index.htm
24HOLDINGS INC,10-Q,1025315,2015-11-02,http://www.sec.gov/Archives/edgar/data/1025315/0001144204-15-062188-index.htm
"2U, Inc.",10-Q,1459417,2015-10-26,http://www.sec.gov/Archives/edgar/data/1459417/0001104659-15-072735-index.htm
"30DC, INC.",10-K,1118974,2015-11-17,http://www.sec.gov/Archives/edgar/data/1118974/0001065949-15-000281-index.htm
"30DC, INC.",NT 10-Q,1118974,2015-11-16,http://www.sec.gov/Archives/edgar/data/1118974/0001065949-15-000277-index.htm
"3D MAKERJET, INC.",10-K,1458023,2015-11-02,http://www.sec.gov/Archives/edgar/data/1458023/0001078782-15-001711-index.htm
